chr,gene_id,strand,start,end
chr1,ENSG00000186092.4,+,70006,70008
chr1,ENSG00000279928.1,+,184156,184158
chr1,ENSG00000279457.3,-,184923,185219
chr1,ENSG00000278566.1,-,450740,450742
chr1,ENSG00000273547.1,-,685716,685718
chr1,ENSG00000187634.10,+,942693,943058
chr1,ENSG00000187634.10,+,943253,943377
chr1,ENSG00000187634.10,+,943698,943808
chr1,ENSG00000187634.10,+,943908,944581
chr1,ENSG00000188976.10,-,944204,944696
chr1,ENSG00000187961.13,+,963920,964008
chr1,ENSG00000187961.13,+,964107,964167
chr1,ENSG00000187961.13,+,964349,964530
chr1,ENSG00000187961.13,+,964963,965715
chr1,ENSG00000187583.10,+,974573,975108
chr1,ENSG00000187642.9,-,975204,976174
chr1,ENSG00000187583.10,+,975712,975865
chr1,ENSG00000188290.10,-,998962,999061
chr1,ENSG00000187608.8,+,1008194,1008279
chr1,ENSG00000187608.8,+,1013984,1014004
chr1,ENSG00000187608.8,+,1014476,1014541
chr1,ENSG00000188157.13,+,1054979,1056118
chr1,ENSG00000237330.2,-,1070966,1071819
chr1,ENSG00000237330.2,-,1072567,1072575
chr1,ENSG00000131591.17,-,1081818,1082987
chr1,ENSG00000131591.17,-,1083915,1084383
chr1,ENSG00000131591.17,-,1084481,1084506
chr1,ENSG00000131591.17,-,1085878,1086012
chr1,ENSG00000131591.17,-,1087139,1087204
chr1,ENSG00000131591.17,-,1087502,1087597
chr1,ENSG00000131591.17,-,1090353,1091152
chr1,ENSG00000131591.17,-,1091544,1091609
chr1,ENSG00000131591.17,-,1091991,1092103
chr1,ENSG00000162571.13,+,1185140,1185864
chr1,ENSG00000162571.13,+,1196446,1196488
chr1,ENSG00000162571.13,+,1196600,1196716
chr1,ENSG00000162571.13,+,1197093,1197186
chr1,ENSG00000162571.13,+,1197438,1197475
chr1,ENSG00000162571.13,+,1197845,1197935
chr1,ENSG00000186891.13,-,1203508,1203846
chr1,ENSG00000186827.10,-,1211326,1211557
chr1,ENSG00000078808.16,-,1216908,1217804
chr1,ENSG00000078808.16,-,1218458,1218623
chr1,ENSG00000184163.3,-,1242453,1242550
chr1,ENSG00000160087.20,-,1253909,1255487
chr1,ENSG00000160087.20,-,1256045,1256125
chr1,ENSG00000160087.20,-,1256992,1257130
chr1,ENSG00000160087.20,-,1257208,1257310
chr1,ENSG00000160087.20,-,1262170,1262262
chr1,ENSG00000160087.20,-,1262269,1262390
chr1,ENSG00000160087.20,-,1263346,1263386
chr1,ENSG00000162572.19,+,1286935,1286975
chr1,ENSG00000162572.19,+,1287109,1287299
chr1,ENSG00000162572.19,+,1287508,1287596
chr1,ENSG00000162572.19,+,1287673,1287836
chr1,ENSG00000162572.19,+,1287939,1288037
chr1,ENSG00000162572.19,+,1290271,1290388
chr1,ENSG00000162572.19,+,1290477,1290555
chr1,ENSG00000162572.19,+,1290637,1290694
chr1,ENSG00000162572.19,+,1290895,1290953
chr1,ENSG00000162572.19,+,1291065,1291140
chr1,ENSG00000162572.19,+,1291254,1291373
chr1,ENSG00000162572.19,+,1291608,1292029
chr1,ENSG00000131584.18,-,1292376,1293566
chr1,ENSG00000131584.18,-,1300196,1300202
chr1,ENSG00000131584.18,-,1300509,1300692
chr1,ENSG00000131584.18,-,1301988,1302046
chr1,ENSG00000131584.18,-,1302922,1302975
chr1,ENSG00000131584.18,-,1303162,1303277
chr1,ENSG00000169972.11,+,1311377,1311677
chr1,ENSG00000127054.18,-,1311585,1311924
chr1,ENSG00000127054.18,-,1312018,1312147
chr1,ENSG00000127054.18,-,1312226,1312368
chr1,ENSG00000127054.18,-,1312440,1312501
chr1,ENSG00000127054.18,-,1312593,1312700
chr1,ENSG00000127054.18,-,1312787,1312949
chr1,ENSG00000127054.18,-,1313035,1313124
chr1,ENSG00000127054.18,-,1313509,1313592
chr1,ENSG00000127054.18,-,1313732,1314105
chr1,ENSG00000127054.18,-,1314301,1314365
chr1,ENSG00000127054.18,-,1314824,1314962
chr1,ENSG00000127054.18,-,1315404,1315438
chr1,ENSG00000127054.18,-,1315520,1315618
chr1,ENSG00000127054.18,-,1318679,1318857
chr1,ENSG00000127054.18,-,1319296,1319705
chr1,ENSG00000127054.18,-,1320456,1320640
chr1,ENSG00000127054.18,-,1320996,1321093
chr1,ENSG00000224051.6,+,1326836,1326910
chr1,ENSG00000224051.6,+,1327761,1328897
chr1,ENSG00000169962.4,+,1334462,1335306
chr1,ENSG00000107404.17,-,1335276,1336144
chr1,ENSG00000107404.17,-,1336412,1336515
chr1,ENSG00000107404.17,-,1337018,1337047
chr1,ENSG00000162576.16,-,1352689,1353606
chr1,ENSG00000175756.13,-,1373730,1373803
chr1,ENSG00000221978.11,-,1386482,1387582
